Date,Start (ET),Visitor Team,Visitor PTS,Home Team,Home PTS,Box Score URL,Attendance,LOG,Arena
"Tue, Oct 19, 2021",7:30p,Brooklyn Nets,104,Milwaukee Bucks,127,https://www.basketball-reference.com/boxscores/202110190MIL.html,"17,341",2:20,Fiserv Forum
"Tue, Oct 19, 2021",10:00p,Golden State Warriors,121,Los Angeles Lakers,114,https://www.basketball-reference.com/boxscores/202110190LAL.html,"18,997",2:33,Crypto.com Arena
"Wed, Oct 20, 2021",7:00p,Indiana Pacers,122,Charlotte Hornets,123,https://www.basketball-reference.com/boxscores/202110200CHO.html,"15,521",2:20,Spectrum Center
"Wed, Oct 20, 2021",7:00p,Chicago Bulls,94,Detroit Pistons,88,https://www.basketball-reference.com/boxscores/202110200DET.html,"20,088",2:09,Little Caesars Arena
"Wed, Oct 20, 2021",7:30p,Boston Celtics,134,New York Knicks,138,https://www.basketball-reference.com/boxscores/202110200NYK.html,"19,812",2:54,Madison Square Garden (IV)
"Wed, Oct 20, 2021",7:30p,Washington Wizards,98,Toronto Raptors,83,https://www.basketball-reference.com/boxscores/202110200TOR.html,"19,800",2:15,Scotiabank Arena
"Wed, Oct 20, 2021",8:00p,Cleveland Cavaliers,121,Memphis Grizzlies,132,https://www.basketball-reference.com/boxscores/202110200MEM.html,"15,975",2:07,FedEx Forum
"Wed, Oct 20, 2021",8:00p,Houston Rockets,106,Minnesota Timberwolves,124,https://www.basketball-reference.com/boxscores/202110200MIN.html,"16,079",2:12,Target Center
"Wed, Oct 20, 2021",8:00p,Philadelphia 76ers,117,New Orleans Pelicans,97,https://www.basketball-reference.com/boxscores/202110200NOP.html,"12,845",2:04,Smoothie King Center
"Wed, Oct 20, 2021",8:30p,Orlando Magic,97,San Antonio Spurs,123,https://www.basketball-reference.com/boxscores/202110200SAS.html,"16,697",2:13,AT&T Center
"Wed, Oct 20, 2021",9:00p,Oklahoma City Thunder,86,Utah Jazz,107,https://www.basketball-reference.com/boxscores/202110200UTA.html,"18,306",2:04,Vivint Smart Home Arena
"Wed, Oct 20, 2021",10:00p,Sacramento Kings,124,Portland Trail Blazers,121,https://www.basketball-reference.com/boxscores/202110200POR.html,"17,467",2:18,Moda Center
"Wed, Oct 20, 2021",10:00p,Denver Nuggets,110,Phoenix Suns,98,https://www.basketball-reference.com/boxscores/202110200PHO.html,"16,074",2:09,Phoenix Suns Arena
"Thu, Oct 21, 2021",7:30p,Dallas Mavericks,87,Atlanta Hawks,113,https://www.basketball-reference.com/boxscores/202110210ATL.html,"17,162",2:08,State Farm Arena
"Thu, Oct 21, 2021",8:00p,Milwaukee Bucks,95,Miami Heat,137,https://www.basketball-reference.com/boxscores/202110210MIA.html,"19,600",2:21,FTX Arena
"Thu, Oct 21, 2021",10:00p,Los Angeles Clippers,113,Golden State Warriors,115,https://www.basketball-reference.com/boxscores/202110210GSW.html,"18,064",2:28,Chase Center
"Fri, Oct 22, 2021",7:00p,New York Knicks,121,Orlando Magic,96,https://www.basketball-reference.com/boxscores/202110220ORL.html,"18,846",2:06,Amway Center
"Fri, Oct 22, 2021",7:00p,Indiana Pacers,134,Washington Wizards,135,https://www.basketball-reference.com/boxscores/202110220WAS.html,"15,407",2:32,Capital One Arena
"Fri, Oct 22, 2021",7:00p,Charlotte Hornets,123,Cleveland Cavaliers,112,https://www.basketball-reference.com/boxscores/202110220CLE.html,"17,116",2:05,Rocket Mortgage Fieldhouse
"Fri, Oct 22, 2021",7:30p,Toronto Raptors,115,Boston Celtics,83,https://www.basketball-reference.com/boxscores/202110220BOS.html,"19,156",2:05,TD Garden
"Fri, Oct 22, 2021",7:30p,Brooklyn Nets,114,Philadelphia 76ers,109,https://www.basketball-reference.com/boxscores/202110220PHI.html,"20,367",2:21,Wells Fargo Center
"Fri, Oct 22, 2021",8:00p,Oklahoma City Thunder,91,Houston Rockets,124,https://www.basketball-reference.com/boxscores/202110220HOU.html,"15,674",2:02,Toyota Center
"Fri, Oct 22, 2021",8:00p,New Orleans Pelicans,112,Chicago Bulls,128,https://www.basketball-reference.com/boxscores/202110220CHI.html,"20,995",2:04,United Center
"Fri, Oct 22, 2021",9:00p,San Antonio Spurs,96,Denver Nuggets,102,https://www.basketball-reference.com/boxscores/202110220DEN.html,"19,520",2:07,Ball Arena
"Fri, Oct 22, 2021",10:00p,Phoenix Suns,115,Los Angeles Lakers,105,https://www.basketball-reference.com/boxscores/202110220LAL.html,"18,997",2:25,Crypto.com Arena
"Fri, Oct 22, 2021",10:00p,Utah Jazz,110,Sacramento Kings,101,https://www.basketball-reference.com/boxscores/202110220SAC.html,"17,583",2:18,Golden 1 Center
"Sat, Oct 23, 2021",6:00p,Atlanta Hawks,95,Cleveland Cavaliers,101,https://www.basketball-reference.com/boxscores/202110230CLE.html,"16,846",2:14,Rocket Mortgage Fieldhouse
"Sat, Oct 23, 2021",7:00p,Miami Heat,91,Indiana Pacers,102,https://www.basketball-reference.com/boxscores/202110230IND.html,"17,147",2:32,Gainbridge Fieldhouse
"Sat, Oct 23, 2021",7:30p,Dallas Mavericks,103,Toronto Raptors,95,https://www.basketball-reference.com/boxscores/202110230TOR.html,"19,800",2:13,Scotiabank Arena
"Sat, Oct 23, 2021",8:00p,Detroit Pistons,82,Chicago Bulls,97,https://www.basketball-reference.com/boxscores/202110230CHI.html,"18,888",2:11,United Center
"Sat, Oct 23, 2021",8:00p,New Orleans Pelicans,89,Minnesota Timberwolves,96,https://www.basketball-reference.com/boxscores/202110230MIN.html,"15,343",2:20,Target Center
"Sat, Oct 23, 2021",8:30p,Milwaukee Bucks,121,San Antonio Spurs,111,https://www.basketball-reference.com/boxscores/202110230SAS.html,"14,353",2:09,AT&T Center
"Sat, Oct 23, 2021",10:00p,Phoenix Suns,105,Portland Trail Blazers,134,https://www.basketball-reference.com/boxscores/202110230POR.html,"18,558",1:59,Moda Center
"Sat, Oct 23, 2021",10:30p,Memphis Grizzlies,120,Los Angeles Clippers,114,https://www.basketball-reference.com/boxscores/202110230LAC.html,"16,748",2:13,Crypto.com Arena
"Sun, Oct 24, 2021",4:00p,Charlotte Hornets,111,Brooklyn Nets,95,https://www.basketball-reference.com/boxscores/202110240BRK.html,"17,732",2:02,Barclays Center
"Sun, Oct 24, 2021",7:00p,Boston Celtics,107,Houston Rockets,97,https://www.basketball-reference.com/boxscores/202110240HOU.html,"16,069",2:14,Toyota Center
"Sun, Oct 24, 2021",7:00p,Orlando Magic,110,New York Knicks,104,https://www.basketball-reference.com/boxscores/202110240NYK.html,"16,273",2:23,Madison Square Garden (IV)
"Sun, Oct 24, 2021",7:00p,Philadelphia 76ers,115,Oklahoma City Thunder,103,https://www.basketball-reference.com/boxscores/202110240OKC.html,"14,256",2:06,Paycom Center
"Sun, Oct 24, 2021",9:00p,Golden State Warriors,119,Sacramento Kings,107,https://www.basketball-reference.com/boxscores/202110240SAC.html,"13,876",2:17,Golden 1 Center
"Sun, Oct 24, 2021",9:30p,Memphis Grizzlies,118,Los Angeles Lakers,121,https://www.basketball-reference.com/boxscores/202110240LAL.html,"18,997",2:24,Crypto.com Arena
"Mon, Oct 25, 2021",7:00p,Boston Celtics,140,Charlotte Hornets,129,https://www.basketball-reference.com/boxscores/202110250CHO.html,"17,238",2:29,Spectrum Center
"Mon, Oct 25, 2021",7:00p,Milwaukee Bucks,119,Indiana Pacers,109,https://www.basketball-reference.com/boxscores/202110250IND.html,"10,339",2:23,Gainbridge Fieldhouse
"Mon, Oct 25, 2021",7:30p,Chicago Bulls,111,Toronto Raptors,108,https://www.basketball-reference.com/boxscores/202110250TOR.html,"19,800",2:16,Scotiabank Arena
"Mon, Oct 25, 2021",7:30p,Orlando Magic,90,Miami Heat,107,https://www.basketball-reference.com/boxscores/202110250MIA.html,"19,600",2:12,FTX Arena
"Mon, Oct 25, 2021",7:30p,Washington Wizards,90,Brooklyn Nets,104,https://www.basketball-reference.com/boxscores/202110250BRK.html,"14,487",2:06,Barclays Center
"Mon, Oct 25, 2021",7:30p,Detroit Pistons,104,Atlanta Hawks,122,https://www.basketball-reference.com/boxscores/202110250ATL.html,"14,209",2:04,State Farm Arena
"Mon, Oct 25, 2021",8:00p,New Orleans Pelicans,107,Minnesota Timberwolves,98,https://www.basketball-reference.com/boxscores/202110250MIN.html,"14,435",2:14,Target Center
"Mon, Oct 25, 2021",9:00p,Cleveland Cavaliers,99,Denver Nuggets,87,https://www.basketball-reference.com/boxscores/202110250DEN.html,"14,221",2:06,Ball Arena
"Mon, Oct 25, 2021",10:30p,Portland Trail Blazers,86,Los Angeles Clippers,116,https://www.basketball-reference.com/boxscores/202110250LAC.html,"15,672",2:10,Crypto.com Arena
"Tue, Oct 26, 2021",7:30p,Philadelphia 76ers,99,New York Knicks,112,https://www.basketball-reference.com/boxscores/202110260NYK.html,"15,218",2:16,Madison Square Garden (IV)
"Tue, Oct 26, 2021",8:00p,Golden State Warriors,106,Oklahoma City Thunder,98,https://www.basketball-reference.com/boxscores/202110260OKC.html,0,2:11,Paycom Center
"Tue, Oct 26, 2021",8:30p,Los Angeles Lakers,125,San Antonio Spurs,121,https://www.basketball-reference.com/boxscores/202110260SAS.html,"18,354",2:26,AT&T Center
"Tue, Oct 26, 2021",8:30p,Houston Rockets,106,Dallas Mavericks,116,https://www.basketball-reference.com/boxscores/202110260DAL.html,"19,337",2:11,American Airlines Center
"Tue, Oct 26, 2021",10:00p,Denver Nuggets,110,Utah Jazz,122,https://www.basketball-reference.com/boxscores/202110260UTA.html,"18,306",2:28,Vivint Smart Home Arena
"Wed, Oct 27, 2021",7:00p,Charlotte Hornets,120,Orlando Magic,111,https://www.basketball-reference.com/boxscores/202110270ORL.html,"14,082",2:11,Amway Center
"Wed, Oct 27, 2021",7:30p,Washington Wizards,116,Boston Celtics,107,https://www.basketball-reference.com/boxscores/202110270BOS.html,"19,156",2:18,TD Garden
"Wed, Oct 27, 2021",7:30p,Miami Heat,106,Brooklyn Nets,93,https://www.basketball-reference.com/boxscores/202110270BRK.html,"17,732",2:13,Barclays Center
"Wed, Oct 27, 2021",7:30p,Indiana Pacers,100,Toronto Raptors,118,https://www.basketball-reference.com/boxscores/202110270TOR.html,"19,800",2:14,Scotiabank Arena
"Wed, Oct 27, 2021",7:30p,Atlanta Hawks,102,New Orleans Pelicans,99,https://www.basketball-reference.com/boxscores/202110270NOP.html,"15,541",2:16,Smoothie King Center
"Wed, Oct 27, 2021",8:00p,Minnesota Timberwolves,113,Milwaukee Bucks,108,https://www.basketball-reference.com/boxscores/202110270MIL.html,"17,341",2:14,Fiserv Forum
"Wed, Oct 27, 2021",8:00p,Los Angeles Lakers,115,Oklahoma City Thunder,123,https://www.basketball-reference.com/boxscores/202110270OKC.html,"15,783",2:25,Paycom Center
"Wed, Oct 27, 2021",10:00p,Sacramento Kings,110,Phoenix Suns,107,https://www.basketball-reference.com/boxscores/202110270PHO.html,"14,678",2:09,Phoenix Suns Arena
"Wed, Oct 27, 2021",10:00p,Memphis Grizzlies,96,Portland Trail Blazers,116,https://www.basketball-reference.com/boxscores/202110270POR.html,"16,241",2:19,Moda Center
"Wed, Oct 27, 2021",10:30p,Cleveland Cavaliers,92,Los Angeles Clippers,79,https://www.basketball-reference.com/boxscores/202110270LAC.html,"13,276",2:05,Crypto.com Arena
"Thu, Oct 28, 2021",7:00p,Atlanta Hawks,111,Washington Wizards,122,https://www.basketball-reference.com/boxscores/202110280WAS.html,"13,653",2:16,Capital One Arena
"Thu, Oct 28, 2021",7:00p,Detroit Pistons,102,Philadelphia 76ers,110,https://www.basketball-reference.com/boxscores/202110280PHI.html,"20,017",2:22,Wells Fargo Center
"Thu, Oct 28, 2021",8:00p,Utah Jazz,122,Houston Rockets,91,https://www.basketball-reference.com/boxscores/202110280HOU.html,"15,858",2:14,Toyota Center
"Thu, Oct 28, 2021",8:00p,New York Knicks,104,Chicago Bulls,103,https://www.basketball-reference.com/boxscores/202110280CHI.html,"20,972",2:20,United Center
"Thu, Oct 28, 2021",8:30p,San Antonio Spurs,99,Dallas Mavericks,104,https://www.basketball-reference.com/boxscores/202110280DAL.html,"19,228",2:07,American Airlines Center
"Thu, Oct 28, 2021",10:00p,Memphis Grizzlies,104,Golden State Warriors,101,https://www.basketball-reference.com/boxscores/202110280GSW.html,"18,064",2:23,Chase Center
"Fri, Oct 29, 2021",7:00p,Orlando Magic,109,Toronto Raptors,110,https://www.basketball-reference.com/boxscores/202110290TOR.html,"19,800",2:16,Scotiabank Arena
"Fri, Oct 29, 2021",7:30p,Charlotte Hornets,99,Miami Heat,114,https://www.basketball-reference.com/boxscores/202110290MIA.html,"19,600",2:18,FTX Arena
"Fri, Oct 29, 2021",7:30p,Indiana Pacers,98,Brooklyn Nets,105,https://www.basketball-reference.com/boxscores/202110290BRK.html,"16,139",2:25,Barclays Center
"Fri, Oct 29, 2021",8:00p,Sacramento Kings,113,New Orleans Pelicans,109,https://www.basketball-reference.com/boxscores/202110290NOP.html,"17,507",2:16,Smoothie King Center
"Fri, Oct 29, 2021",10:00p,Dallas Mavericks,75,Denver Nuggets,106,https://www.basketball-reference.com/boxscores/202110290DEN.html,"18,315",2:17,Ball Arena
"Fri, Oct 29, 2021",10:00p,Los Angeles Clippers,92,Portland Trail Blazers,111,https://www.basketball-reference.com/boxscores/202110290POR.html,"16,510",2:07,Moda Center
"Fri, Oct 29, 2021",10:30p,Cleveland Cavaliers,101,Los Angeles Lakers,113,https://www.basketball-reference.com/boxscores/202110290LAL.html,"18,997",2:09,Crypto.com Arena
"Sat, Oct 30, 2021",5:00p,Boston Celtics,112,Washington Wizards,115,https://www.basketball-reference.com/boxscores/202110300WAS.html,"15,813",2:58,Capital One Arena
"Sat, Oct 30, 2021",7:00p,Orlando Magic,103,Detroit Pistons,110,https://www.basketball-reference.com/boxscores/202110300DET.html,"11,423",2:12,Little Caesars Arena
"Sat, Oct 30, 2021",7:00p,New York Knicks,123,New Orleans Pelicans,117,https://www.basketball-reference.com/boxscores/202110300NOP.html,"16,508",2:16,Smoothie King Center
"Sat, Oct 30, 2021",7:30p,Toronto Raptors,97,Indiana Pacers,94,https://www.basketball-reference.com/boxscores/202110300IND.html,"10,578",2:07,Gainbridge Fieldhouse
"Sat, Oct 30, 2021",7:30p,Atlanta Hawks,94,Philadelphia 76ers,122,https://www.basketball-reference.com/boxscores/202110300PHI.html,"20,031",2:10,Wells Fargo Center
"Sat, Oct 30, 2021",8:00p,Utah Jazz,99,Chicago Bulls,107,https://www.basketball-reference.com/boxscores/202110300CHI.html,"20,668",2:17,United Center
"Sat, Oct 30, 2021",8:00p,Miami Heat,129,Memphis Grizzlies,103,https://www.basketball-reference.com/boxscores/202110300MEM.html,"15,989",2:10,FedEx Forum
"Sat, Oct 30, 2021",8:00p,San Antonio Spurs,102,Milwaukee Bucks,93,https://www.basketball-reference.com/boxscores/202110300MIL.html,"17,341",2:11,Fiserv Forum
"Sat, Oct 30, 2021",8:30p,Oklahoma City Thunder,82,Golden State Warriors,103,https://www.basketball-reference.com/boxscores/202110300GSW.html,"18,064",2:02,Chase Center
"Sat, Oct 30, 2021",9:00p,Denver Nuggets,93,Minnesota Timberwolves,91,https://www.basketball-reference.com/boxscores/202110300MIN.html,"17,136",2:02,Target Center
"Sat, Oct 30, 2021",10:00p,Cleveland Cavaliers,92,Phoenix Suns,101,https://www.basketball-reference.com/boxscores/202110300PHO.html,"14,516",2:06,Phoenix Suns Arena
"Sun, Oct 31, 2021",3:30p,Sacramento Kings,99,Dallas Mavericks,105,https://www.basketball-reference.com/boxscores/202110310DAL.html,"19,231",2:07,American Airlines Center
"Sun, Oct 31, 2021",7:00p,Portland Trail Blazers,113,Charlotte Hornets,125,https://www.basketball-reference.com/boxscores/202110310CHO.html,"14,960",2:03,Spectrum Center
"Sun, Oct 31, 2021",7:00p,Utah Jazz,107,Milwaukee Bucks,95,https://www.basketball-reference.com/boxscores/202110310MIL.html,"17,341",2:10,Fiserv Forum
"Sun, Oct 31, 2021",7:30p,Detroit Pistons,91,Brooklyn Nets,117,https://www.basketball-reference.com/boxscores/202110310BRK.html,"13,507",2:05,Barclays Center
"Sun, Oct 31, 2021",10:30p,Houston Rockets,85,Los Angeles Lakers,95,https://www.basketball-reference.com/boxscores/202110310LAL.html,"16,448",2:13,Crypto.com Arena
"Mon, Nov 1, 2021",7:00p,Cleveland Cavaliers,113,Charlotte Hornets,110,https://www.basketball-reference.com/boxscores/202111010CHO.html,"13,889",2:15,Spectrum Center
"Mon, Nov 1, 2021",7:00p,San Antonio Spurs,118,Indiana Pacers,131,https://www.basketball-reference.com/boxscores/202111010IND.html,"10,227",2:02,Gainbridge Fieldhouse
"Mon, Nov 1, 2021",7:00p,Portland Trail Blazers,103,Philadelphia 76ers,113,https://www.basketball-reference.com/boxscores/202111010PHI.html,"20,115",2:04,Wells Fargo Center
"Mon, Nov 1, 2021",7:30p,Washington Wizards,111,Atlanta Hawks,118,https://www.basketball-reference.com/boxscores/202111010ATL.html,"14,632",2:12,State Farm Arena
"Mon, Nov 1, 2021",7:30p,Chicago Bulls,128,Boston Celtics,114,https://www.basketball-reference.com/boxscores/202111010BOS.html,"19,156",2:09,TD Garden
"Mon, Nov 1, 2021",7:30p,Toronto Raptors,113,New York Knicks,104,https://www.basketball-reference.com/boxscores/202111010NYK.html,"16,528",2:05,Madison Square Garden (IV)
"Mon, Nov 1, 2021",8:00p,Denver Nuggets,97,Memphis Grizzlies,106,https://www.basketball-reference.com/boxscores/202111010MEM.html,"12,683",2:02,FedEx Forum
"Mon, Nov 1, 2021",8:00p,Orlando Magic,115,Minnesota Timberwolves,97,https://www.basketball-reference.com/boxscores/202111010MIN.html,"14,744",2:19,Target Center
"Mon, Nov 1, 2021",10:30p,Oklahoma City Thunder,94,Los Angeles Clippers,99,https://www.basketball-reference.com/boxscores/202111010LAC.html,"13,722",2:14,Crypto.com Arena
"Tue, Nov 2, 2021",7:00p,Milwaukee Bucks,117,Detroit Pistons,89,https://www.basketball-reference.com/boxscores/202111020DET.html,"9,254",2:11,Little Caesars Arena
"Tue, Nov 2, 2021",7:30p,Miami Heat,125,Dallas Mavericks,110,https://www.basketball-reference.com/boxscores/202111020DAL.html,"19,255",2:21,American Airlines Center
"Tue, Nov 2, 2021",9:00p,Sacramento Kings,113,Utah Jazz,119,https://www.basketball-reference.com/boxscores/202111020UTA.html,"18,306",2:28,Vivint Smart Home Arena
"Tue, Nov 2, 2021",10:00p,New Orleans Pelicans,100,Phoenix Suns,112,https://www.basketball-reference.com/boxscores/202111020PHO.html,"14,323",2:11,Phoenix Suns Arena
"Tue, Nov 2, 2021",10:30p,Houston Rockets,117,Los Angeles Lakers,119,https://www.basketball-reference.com/boxscores/202111020LAL.html,"18,997",2:17,Crypto.com Arena
"Wed, Nov 3, 2021",7:00p,Portland Trail Blazers,104,Cleveland Cavaliers,107,https://www.basketball-reference.com/boxscores/202111030CLE.html,"16,231",2:06,Rocket Mortgage Fieldhouse
"Wed, Nov 3, 2021",7:00p,New York Knicks,98,Indiana Pacers,111,https://www.basketball-reference.com/boxscores/202111030IND.html,"11,607",2:11,Gainbridge Fieldhouse
"Wed, Nov 3, 2021",7:00p,Boston Celtics,92,Orlando Magic,79,https://www.basketball-reference.com/boxscores/202111030ORL.html,"12,735",2:06,Amway Center
"Wed, Nov 3, 2021",7:00p,Chicago Bulls,98,Philadelphia 76ers,103,https://www.basketball-reference.com/boxscores/202111030PHI.html,"20,438",2:13,Wells Fargo Center
"Wed, Nov 3, 2021",7:00p,Toronto Raptors,109,Washington Wizards,100,https://www.basketball-reference.com/boxscores/202111030WAS.html,"13,538",2:14,Capital One Arena
"Wed, Nov 3, 2021",7:30p,Atlanta Hawks,108,Brooklyn Nets,117,https://www.basketball-reference.com/boxscores/202111030BRK.html,"17,323",2:05,Barclays Center
"Wed, Nov 3, 2021",8:00p,Denver Nuggets,106,Memphis Grizzlies,108,https://www.basketball-reference.com/boxscores/202111030MEM.html,"12,977",2:11,FedEx Forum
"Wed, Nov 3, 2021",8:00p,Los Angeles Clippers,126,Minnesota Timberwolves,115,https://www.basketball-reference.com/boxscores/202111030MIN.html,"15,386",2:10,Target Center
"Wed, Nov 3, 2021",8:30p,Dallas Mavericks,109,San Antonio Spurs,108,https://www.basketball-reference.com/boxscores/202111030SAS.html,"16,356",2:26,AT&T Center
"Wed, Nov 3, 2021",10:00p,Charlotte Hornets,92,Golden State Warriors,114,https://www.basketball-reference.com/boxscores/202111030GSW.html,"18,064",2:16,Chase Center
"Wed, Nov 3, 2021",10:00p,New Orleans Pelicans,99,Sacramento Kings,112,https://www.basketball-reference.com/boxscores/202111030SAC.html,0,2:10,Golden 1 Center
"Thu, Nov 4, 2021",7:00p,Philadelphia 76ers,109,Detroit Pistons,98,https://www.basketball-reference.com/boxscores/202111040DET.html,"8,702",2:12,Little Caesars Arena
"Thu, Nov 4, 2021",7:30p,Utah Jazz,116,Atlanta Hawks,98,https://www.basketball-reference.com/boxscores/202111040ATL.html,"16,590",2:12,State Farm Arena
"Thu, Nov 4, 2021",7:30p,Boston Celtics,95,Miami Heat,78,https://www.basketball-reference.com/boxscores/202111040MIA.html,"19,600",2:13,FTX Arena
"Thu, Nov 4, 2021",10:00p,Houston Rockets,111,Phoenix Suns,123,https://www.basketball-reference.com/boxscores/202111040PHO.html,"15,058",2:08,Phoenix Suns Arena
"Thu, Nov 4, 2021",10:30p,Oklahoma City Thunder,107,Los Angeles Lakers,104,https://www.basketball-reference.com/boxscores/202111040LAL.html,"18,997",2:15,Crypto.com Arena
"Fri, Nov 5, 2021",7:00p,Brooklyn Nets,96,Detroit Pistons,90,https://www.basketball-reference.com/boxscores/202111050DET.html,"14,235",2:18,Little Caesars Arena
"Fri, Nov 5, 2021",7:00p,San Antonio Spurs,102,Orlando Magic,89,https://www.basketball-reference.com/boxscores/202111050ORL.html,"14,101",2:01,Amway Center
"Fri, Nov 5, 2021",7:00p,Memphis Grizzlies,87,Washington Wizards,115,https://www.basketball-reference.com/boxscores/202111050WAS.html,"16,302",2:06,Capital One Arena
"Fri, Nov 5, 2021",7:30p,New York Knicks,113,Milwaukee Bucks,98,https://www.basketball-reference.com/boxscores/202111050MIL.html,"17,341",2:14,Fiserv Forum
"Fri, Nov 5, 2021",7:30p,Cleveland Cavaliers,102,Toronto Raptors,101,https://www.basketball-reference.com/boxscores/202111050TOR.html,"19,800",2:10,Scotiabank Arena
"Fri, Nov 5, 2021",8:00p,Los Angeles Clippers,104,Minnesota Timberwolves,84,https://www.basketball-reference.com/boxscores/202111050MIN.html,"17,136",2:15,Target Center
"Fri, Nov 5, 2021",10:00p,New Orleans Pelicans,85,Golden State Warriors,126,https://www.basketball-reference.com/boxscores/202111050GSW.html,"18,064",2:18,Chase Center
"Fri, Nov 5, 2021",10:00p,Indiana Pacers,106,Portland Trail Blazers,110,https://www.basketball-reference.com/boxscores/202111050POR.html,"16,841",2:04,Moda Center
"Fri, Nov 5, 2021",10:00p,Charlotte Hornets,110,Sacramento Kings,140,https://www.basketball-reference.com/boxscores/202111050SAC.html,"14,905",2:07,Golden 1 Center
"Sat, Nov 6, 2021",5:00p,Houston Rockets,94,Denver Nuggets,95,https://www.basketball-reference.com/boxscores/202111060DEN.html,"16,046",2:09,Ball Arena
"Sat, Nov 6, 2021",7:30p,Utah Jazz,115,Miami Heat,118,https://www.basketball-reference.com/boxscores/202111060MIA.html,"19,600",2:16,FTX Arena
"Sat, Nov 6, 2021",8:00p,Philadelphia 76ers,114,Chicago Bulls,105,https://www.basketball-reference.com/boxscores/202111060CHI.html,"20,936",2:16,United Center
"Sat, Nov 6, 2021",8:30p,Boston Celtics,104,Dallas Mavericks,107,https://www.basketball-reference.com/boxscores/202111060DAL.html,"20,052",2:07,American Airlines Center
"Sat, Nov 6, 2021",10:00p,Atlanta Hawks,117,Phoenix Suns,121,https://www.basketball-reference.com/boxscores/202111060PHO.html,"15,412",2:11,Phoenix Suns Arena
"Sat, Nov 6, 2021",10:30p,Los Angeles Lakers,90,Portland Trail Blazers,105,https://www.basketball-reference.com/boxscores/202111060POR.html,"19,393",2:06,Moda Center
"Sun, Nov 7, 2021",3:30p,Brooklyn Nets,116,Toronto Raptors,103,https://www.basketball-reference.com/boxscores/202111070TOR.html,"19,800",2:01,Scotiabank Arena
"Sun, Nov 7, 2021",6:00p,Cleveland Cavaliers,126,New York Knicks,109,https://www.basketball-reference.com/boxscores/202111070NYK.html,"19,040",2:05,Madison Square Garden (IV)
"Sun, Nov 7, 2021",6:00p,Utah Jazz,100,Orlando Magic,107,https://www.basketball-reference.com/boxscores/202111070ORL.html,"13,386",2:10,Amway Center
"Sun, Nov 7, 2021",6:00p,Indiana Pacers,94,Sacramento Kings,91,https://www.basketball-reference.com/boxscores/202111070SAC.html,"12,993",2:15,Golden 1 Center
"Sun, Nov 7, 2021",6:00p,Milwaukee Bucks,94,Washington Wizards,101,https://www.basketball-reference.com/boxscores/202111070WAS.html,"15,570",2:12,Capital One Arena
"Sun, Nov 7, 2021",7:00p,San Antonio Spurs,94,Oklahoma City Thunder,99,https://www.basketball-reference.com/boxscores/202111070OKC.html,"12,972",2:02,Paycom Center
"Sun, Nov 7, 2021",8:30p,Houston Rockets,107,Golden State Warriors,120,https://www.basketball-reference.com/boxscores/202111070GSW.html,"18,064",2:11,Chase Center
"Sun, Nov 7, 2021",9:00p,Charlotte Hornets,106,Los Angeles Clippers,120,https://www.basketball-reference.com/boxscores/202111070LAC.html,"15,781",2:25,Crypto.com Arena
"Mon, Nov 8, 2021",7:00p,New York Knicks,103,Philadelphia 76ers,96,https://www.basketball-reference.com/boxscores/202111080PHI.html,"20,224",2:04,Wells Fargo Center
"Mon, Nov 8, 2021",8:00p,Brooklyn Nets,95,Chicago Bulls,118,https://www.basketball-reference.com/boxscores/202111080CHI.html,"19,459",2:08,United Center
"Mon, Nov 8, 2021",8:00p,Minnesota Timberwolves,118,Memphis Grizzlies,125,https://www.basketball-reference.com/boxscores/202111080MEM.html,"12,416",2:36,FedEx Forum
"Mon, Nov 8, 2021",8:30p,New Orleans Pelicans,92,Dallas Mavericks,108,https://www.basketball-reference.com/boxscores/202111080DAL.html,"19,231",2:05,American Airlines Center
"Mon, Nov 8, 2021",9:00p,Miami Heat,96,Denver Nuggets,113,https://www.basketball-reference.com/boxscores/202111080DEN.html,"15,577",2:26,Ball Arena
"Mon, Nov 8, 2021",10:00p,Atlanta Hawks,113,Golden State Warriors,127,https://www.basketball-reference.com/boxscores/202111080GSW.html,"18,064",2:17,Chase Center
"Mon, Nov 8, 2021",10:00p,Phoenix Suns,109,Sacramento Kings,104,https://www.basketball-reference.com/boxscores/202111080SAC.html,"13,566",2:14,Golden 1 Center
"Mon, Nov 8, 2021",10:30p,Charlotte Hornets,123,Los Angeles Lakers,126,https://www.basketball-reference.com/boxscores/202111080LAL.html,"18,997",2:44,Crypto.com Arena
"Tue, Nov 9, 2021",7:30p,Milwaukee Bucks,118,Philadelphia 76ers,109,https://www.basketball-reference.com/boxscores/202111090PHI.html,"20,029",2:14,Wells Fargo Center
"Tue, Nov 9, 2021",9:00p,Atlanta Hawks,98,Utah Jazz,110,https://www.basketball-reference.com/boxscores/202111090UTA.html,"18,306",2:06,Vivint Smart Home Arena
"Tue, Nov 9, 2021",10:00p,Portland Trail Blazers,109,Los Angeles Clippers,117,https://www.basketball-reference.com/boxscores/202111090LAC.html,"14,131",2:08,Crypto.com Arena
"Wed, Nov 10, 2021",7:00p,Washington Wizards,97,Cleveland Cavaliers,94,https://www.basketball-reference.com/boxscores/202111100CLE.html,"18,056",2:19,Rocket Mortgage Fieldhouse
